Year,Month,Export Quantity (kg),Export Price (LKR/kg),Exchange Rate (LKR/USD),Export Price (USD/kg)
2008,January,25100000,385.12,108.1669565,3.560421892
2008,February,23850000,398.4,107.8452381,3.694182581
2008,March,27200000,412.55,107.7319048,3.829413403
2008,April,21400000,425.3,107.8031818,3.945152572
2008,May,28500000,438.1,107.7872727,4.06448729
2008,June,31250000,450.75,107.7914286,4.181686856
2008,July,30150000,465.2,107.6276087,4.322311028
2008,August,28900000,470.15,107.732619,4.364045023
2008,September,29450000,462.4,107.8575,4.287138122
2008,October,27800000,415.6,108.2080435,3.840749603
2008,November,24150000,380.25,110.0025,3.45673962
2008,December,21950000,360.85,111.5965217,3.233523719
2009,January,19850000,370.45,113.8395455,3.254141595
2009,February,18200000,385.1,114.1975,3.372227938
2009,March,22150000,405.3,114.4009091,3.542804015
2009,April,17900000,430.25,117.4068182,3.664608297
2009,May,21400000,455.6,116.6911905,3.904322153
2009,June,25800000,472.4,114.9159091,4.110832031
2009,July,28500000,485.15,114.5793478,4.23418364
2009,August,27200000,505.8,114.3628571,4.422764634
2009,September,29150000,512.2,114.7606818,4.463201088
2009,October,30250000,510.45,114.8097727,4.446050087
2009,November,25100000,502.1,114.5135714,4.384633138
2009,December,24250000,495.35,114.3308696,4.332600652
2010,January,24300000,485.6,114.3911905,4.245082143
2010,February,22450000,480.15,114.54925,4.191646824
2010,March,27850000,490.3,114.148913,4.295266481
2010,April,20600000,495.45,113.8752273,4.350814588
2010,May,25150000,501.2,113.7530952,4.406033954
2010,June,28900000,505.75,113.6020455,4.451944487
2010,July,30100000,510.4,113.0143182,4.516241908
2010,August,29450000,515.15,112.4422727,4.581462003
2010,September,28300000,502.8,112.3086364,4.476948668
2010,October,29550000,498.45,111.6878571,4.462884442
2010,November,26400000,507.5,111.5175,4.550855247
2010,December,24950000,521.85,111.0819565,4.697882684
2011,January,27160000,525,110.8392857,4.736587724
2011,February,25220000,522.15,110.839,4.710886962
2011,March,26900000,540.29,110.3445652,4.896389767
2011,April,20340000,529.81,110.257619,4.805200807
2011,May,25020000,515.74,109.8002273,4.697075888
2011,June,25680000,500.64,109.5822727,4.568622164
2011,July,29230000,487.78,109.5004762,4.4545925
2011,August,31240000,484.62,109.7306522,4.416450558
2011,September,26440000,495.82,110.0615909,4.504932156
