,Year,Month,Export Quantity (kg),Export Price (LKR/kg),Exchange Rate (LKR/USD),Export Price (USD/kg),Global_Tea_Price ($),Log_Return
2008-01-01,2008,January,25100000.0,385.12,108.1669565217392,3.560421892083092,2.37717912132,
2008-02-01,2008,February,23850000.0,398.4,107.8452380952381,3.694182580858815,2.39684047172,0.03688026003006366
2008-03-01,2008,March,27200000.0,412.55,107.7319047619048,3.829413402759054,2.26259917845,0.03595232602956739
2008-04-01,2008,April,21400000.0,425.3,107.8031818181818,3.945152571816485,2.48788400741,0.02977599536763459
2008-05-01,2008,May,28500000.0,438.1,107.7872727272727,4.064487289779532,2.48375859274,0.02979997878778586
2008-06-01,2008,June,31250000.0,450.75,107.7914285714286,4.181686855567631,2.66923710821,0.02842711202475578
2008-07-01,2008,July,30150000.0,465.2,107.6276086956522,4.322311028162727,2.75915178081,0.03307550034445148
2008-08-01,2008,August,28900000.0,470.15,107.732619047619,4.364045023282952,2.74206651878,0.009609165454869223
2008-09-01,2008,September,29450000.0,462.4,107.8575,4.287138122059199,2.66865752877,-0.01777997898187294
2008-10-01,2008,October,27800000.0,415.6,108.2080434782609,3.840749602717792,2.30495518218,-0.109951849321739
2008-11-01,2008,November,24150000.0,380.25,110.0025,3.456739619554101,1.96734080153,-0.1053417182574023
2008-12-01,2008,December,21950000.0,360.85,111.5965217391304,3.233523718987658,1.92601276103,-0.06675336106364688
2009-01-01,2009,January,19850000.0,370.45,113.8395454545454,3.254141594828447,2.18581719459,0.00635604466499024
2009-02-01,2009,February,18200000.0,385.1,114.1975,3.372227938439984,2.13518684881,0.03564511332327552
2009-03-01,2009,March,22150000.0,405.3,114.4009090909091,3.54280401458984,2.21858600382,0.0493448728641457
2009-04-01,2009,April,17900000.0,430.25,117.4068181818182,3.664608296714996,2.5089199608,0.03380294475662652
2009-05-01,2009,May,21400000.0,455.6,116.6911904761905,3.904322152690353,2.69362024588,0.06336273088791704
2009-06-01,2009,June,25800000.0,472.4,114.9159090909091,4.110832031327255,2.78153715316,0.05154126496618763
2009-07-01,2009,July,28500000.0,485.15,114.5793478260869,4.234183639589046,2.95894170344,0.02956509564024703
2009-08-01,2009,August,27200000.0,505.8,114.3628571428571,4.422764633872137,2.99231843422,0.04357443896102539
2009-09-01,2009,September,29150000.0,512.2,114.7606818181818,4.463201088431062,3.15704239192,0.00910125808373114
2009-10-01,2009,October,30250000.0,510.45,114.8097727272727,4.446050086803666,3.02668042507,-0.003850160350600755
2009-11-01,2009,November,25100000.0,502.1,114.5135714285714,4.384633137681748,3.0559291266,-0.01391012175664124
2009-12-01,2009,December,24250000.0,495.35,114.3308695652174,4.332600651807683,2.97358010567,-0.01193798516411683
2010-01-01,2010,January,24300000.0,485.6,114.3911904761905,4.245082142938913,2.89774709912,-0.02040680405392279
2010-02-01,2010,February,22450000.0,480.15,114.54925,4.191646824400858,2.85121522536,-0.01266747652659377
2010-03-01,2010,March,27850000.0,490.3,114.1489130434782,4.295266480665036,2.62139846454,0.02441990433872678
2010-04-01,2010,April,20600000.0,495.45,113.8752272727273,4.350814587736577,2.77435787002,0.01284949121410609
2010-05-01,2010,May,25150000.0,501.2,113.7530952380952,4.406033954073463,2.79885003181,0.01261186555873307
2010-06-01,2010,June,28900000.0,505.75,113.6020454545454,4.451944487235146,2.71804797413,0.01036600948435294
2010-07-01,2010,July,30100000.0,510.4,113.0143181818182,4.516241908205515,2.86409975458,0.0143392476105449
2010-08-01,2010,August,29450000.0,515.15,112.4422727272728,4.58146200272463,2.99338321328,0.01433794998505252
2010-09-01,2010,September,28300000.0,502.8,112.3086363636364,4.476948668239713,2.9960260726,-0.02307644822366647
